Time, Pellets, Tension, Distance, Reward
Game 0
Game 1
0, 42, 0.004431848, 6, 0
0.09999999, 42, 0.004431848, 6, -0.01937767
0.1451574, 42, 0.004431848, 6, -0.03875535
0.2199948, 41, 0.05399097, 5, -0.05813302
0.2466411, 41, 0.05399097, 5, -0.0285323
0.2654531, 41, 0.05399097, 5, 0.001068424
0.2883372, 41, 0.05399097, 5, 0.03066915
0.3138479, 40, 0.05399097, 5, 0.06026987
0.3378932, 40, 0.004431848, 6, 0.08926084
0.3650058, 40, 0.004431848, 6, 0.06869269
0.3987103, 40, 0.004431848, 6, 0.04812454
0.4201297, 40, 0.004431848, 6, 0.02755639
0.4461454, 40, 0.004431848, 6, 0.006988241
0.4734544, 39, 0.004431848, 6, -0.01357991
0.493582, 39, 0.004431848, 6, -0.03478909
0.5178334, 39, 0.05399097, 5, -0.05599827
0.5431342, 39, 0.05399097, 5, -0.02764832
0.5637715, 39, 0.05399097, 5, 0.0007016178
0.5839232, 39, 0.05399097, 5, 0.02905156
0.608421, 39, 0.05399097, 5, 0.0574015
0.6322542, 38, 0.05399097, 5, 0.08575144
0.6519172, 38, 0.2419707, 4, 0.1134266
0.6737019, 38, 0.2419707, 4, 0.3290816
0.7737019, 37, 0.2419707, 4, 0.5447365
